state,2014_oneyr_unemp_delta,2018_oneyr_unemp_delta
AL,-0.4,-0.5
AK,-0.1,-0.4
AZ,-0.9,-0.1
AR,-1.2,0
CA,-1.4,-0.6
CO,-1.9,0.6
CT,-1.2,-0.6
DE,-1,-0.7
DC,-0.7,-0.5
FL,-0.9,-0.6
GA,-1.1,-0.8
HI,-0.5,0
ID,-1.3,-0.4
IL,-1.9,-0.6
IN,-1.7,-0.2
IA,-0.5,-0.6
KS,-0.8,-0.3
KY,-1.5,-0.6
LA,-0.3,-0.2
ME,-1,0
MD,-0.8,-0.4
MA,-1,-0.5
MI,-1.6,-0.5
MN,-0.8,-0.5
MS,-1,-0.3
MO,-0.6,-0.6
MT,-0.7,-0.2
NE,-0.5,-0.1
NV,-1.7,-0.5
NH,-0.8,-0.2
NJ,-1.4,-0.5
NM,-0.2,-1
NY,-1.4,-0.6
NC,-1.7,-0.6
ND,-0.2,-0.1
OH,-1.7,-0.4
OK,-0.8,-0.8
OR,-1.1,0.1
PA,-1.5,-0.6
RI,-1.6,-0.3
SC,-1.1,-0.9
SD,-0.4,-0.2
TN,-1.2,-0.3
TX,-1.2,-0.4
UT,-0.8,-0.2
VT,-0.5,-0.3
VA,-0.5,-0.7
WA,-0.9,-0.2
WV,-0.2,0.1
WI,-1.3,-0.3
WY,-0.6,-0.1
