state,value
Alabama,39201
Alaska,71086
Arizona,41643
Arkansas,38303
California,63785
Colorado,57166
Connecticut,67845
Delaware,66485
District of Columbia,174150
Florida,42013
Georgia,48353
Hawaii,55252
Idaho,38941
Illinois,58250
Indiana,47734
Iowa,53923
Kansas,51499
Kentucky,41147
Louisiana,48791
Maine,41289
Maryland,59423
Massachusetts,70167
Michigan,45446
Minnesota,57778
Mississippi,33684
Missouri,45259
Montana,42528
Nebraska,58141
Nevada,47708
New Hampshire,54244
New Jersey,60842
New Mexico,43611
New York,70752
North Carolina,46801
North Dakota,67656
Ohio,50287
Oklahoma,48414
Oregon,49115
Pennsylvania,53963
Rhode Island,50225
South Carolina,39421
South Dakota,52945
Tennessee,46355
Texas,57280
Utah,48450
Vermont,47083
Virginia,54295
Washington,63026
West Virginia,37632
Wisconsin,50364
Wyoming,65127
