State,value
Alabama,38562
Alaska,75683
Arizona,40660
Arkansas,36830
California,55565
Colorado,52459
Connecticut,67452
Delaware,68353
District of Columbia,180775
Florida,40001
Georgia,44880
Hawaii,52260
Idaho,36492
Illinois,54950
Indiana,45499
Iowa,49330
Kansas,48296
Kentucky,39853
Louisiana,51159
Maine,39971
Maryland,57254
Massachusetts,65736
Michigan,41640
Minnesota,54367
Mississippi,33147
Missouri,44383
Montana,41589
Nebraska,55599
Nevada,47823
New Hampshire,50644
New Jersey,57877
New Mexico,41899
New York,65094
North Carolina,45470
North Dakota,61218
Ohio,46667
Oklahoma,43601
Oregon,44911
Pennsylvania,49540
Rhode Island,48664
South Carolina,37275
South Dakota,51966
Tennessee,42955
Texas,52397
Utah,45149
Vermont,45828
Virginia,54516
Washington,56853
West Virginia,37530
Wisconsin,47394
Wyoming,69453
