state,value
Alabama,39594
Alaska,71274
Arizona,42476
Arkansas,38411
California,66262
Colorado,58686
Connecticut,68184
Delaware,65554
District of Columbia,173944
Florida,42719
Georgia,49610
Hawaii,56674
Idaho,39454
Illinois,58942
Indiana,48460
Iowa,53580
Kansas,52038
Kentucky,41434
Louisiana,49536
Maine,42087
Maryland,59757
Massachusetts,71517
Michigan,46021
Minnesota,58426
Mississippi,33956
Missouri,45541
Montana,42759
Nebraska,58986
Nevada,48356
New Hampshire,54912
New Jersey,61150
New Mexico,43634
New York,72429
North Carolina,47270
North Dakota,67553
Ohio,50952
Oklahoma,48706
Oregon,50313
Pennsylvania,54234
Rhode Island,50156
South Carolina,40204
South Dakota,52238
Tennessee,46780
Texas,58125
Utah,49347
Vermont,47086
Virginia,54906
Washington,65151
West Virginia,38471
Wisconsin,50873
Wyoming,65633
