State,cfb 18,nfl 18,nba 18,cbb 18,cfb 14,nfl 14,nba 14,cbb 14
AK,0.565,0.846,0.72,0.517,0.542,0.75,0.622,0.552
AL,0.933,0.813,0.293,0.556,0.857,0.375,0.732,0.558
AR,0.142,0.625,0.268,0.657,0.538,0.75,0.671,0.75
AZ,0.666,0.5,0.256,0.771,0.714,0.688,0.476,0.894
CA,0.636,0.813,0.707,0.636,0.769,0.5,0.683,0.611
CO,0.41,0.375,0.561,0.531,0.769,0.75,0.366,0.47
CT,0.083,0.688,0.671,0.4375,0.166,0.75,0.463,0.8
DC,0.565,0.438,0.524,0.601,0.542,0.25,0.561,0.594
DE,0.583,0.563,0.634,0.42,0.5,0.625,0.22,0.333
FL,0.769,0.438,0.537,0.617,0.5833,0.5,0.451,0.484
GA,0.785,0.438,0.293,0.545,0.769,0.375,0.732,0.636
HI,0.57,0.75,0.512,0.566,0.307,0.563,0.683,0.629
IA,0.69,0.406,0.573,0.424,0.538,0.563,0.195,0.647
ID,0.36,0.375,0.585,0.709,0.09,0.75,0.463,0.433
IL,0.333,0.75,0.555,0.437,0.461,0.313,0.61,0.575
IN,0.416,0.625,0.585,0.516,0.333,0.688,0.463,0.588
KS,0.416,0.75,0.585,0.79,0.25,0.563,0.549,0.75
KY,0.769,0.625,0.585,0.7,0.416,0.125,0.463,0.974
LA,0.769,0.813,0.585,0.535,0.615,0.438,0.549,0.666
MA,0.333,0.688,0.671,0.393,0.25,75,0.488,0.531
MD,0.416,0.625,0.524,0.593,0.538,0.625,0.561,0.8
ME,0.714,0.688,0.671,0.185,0.455,0.75,0.488,0.1
MI,0.769,0.375,0.476,0.8,0.416,0.688,0.39,0.5
MN,0.538,0.531,0.573,0.462,0.615,0.438,0.195,0.545
MO,0.615,0.813,0.268,0.76,0.785,0.563,0.671,0.281
MS,0.615,0.438,0.585,0.375,0.692,0.438,0.549,0.617
MT,0.615,0.375,0.585,0.606,0.642,0.75,0.463,0.606
NC,0.182,0.438,0.439,0.702,0.461,0.469,0.402,0.684
ND,1,0.531,0.573,0.375,0.4166,0.438,0.195,0.2666
NE,0.33,0.75,0.561,0.66,0.692,0.563,0.366,0.419
NH,0.36,0.688,0.671,0.322,0.857,0.75,0.488,0.593
NJ,0.083,0.313,0.341,0.44,0.5833,0.25,0.463,0.312
NM,0.25,0.625,0.561,0.56,0.333,0.688,0.476,0.483
NV,0.615,0.25,0.427,0.78,0.538,0.188,0.463,0.29
NY,0.27,0.313,0.354,0.69,0.5833,0.375,0.463,0.727
OH,0.928,0.469,0.61,0.74,0.933,0.656,0.646,0.685
OK,0.857,0.625,0.585,0.583,0.615,0.75,0.549,0.685
OR,0.692,0.625,0.598,0.64,0.866,0.75,0.622,0.722
PA,0.692,0.563,0.634,0.66,0.538,0.688,0.22,0.47
RI,0.545,0.688,0.671,0.76,0.083,0.75,0.488,0.696
SC,1,0.438,0.439,0.71,0.538,0.469,0.402,0.515
SD,0.363,0.531,0.573,0.742,0.64,0.438,0.195,0.685
TN,0.4166,0.563,0.268,0.742,0.538,0.125,0.671,0.5
TX,0.714,0.688,0.293,0.73,0.461,0.75,0.683,0.588
UT,0.642,0.375,0.585,0.657,0.538,0.75,0.463,0.74
VA,0.615,0.438,0.524,0.911,0.538,0.25,0.561,0.88
VT,0.565,0.688,0.671,0.77,0.542,0.75,0.488,0.588
WA,0.846,0.625,0.598,0.62,0.571,0.75,0.622,0.531
WI,0.615,0.406,0.537,0.45,0.785,0.75,0.5,0.9
WV,0.66,0.594,0.61,0.7,0.538,0.688,0.646,0.714
WY,0.5,0.375,0.561,0.606,0.333,0.75,0.366,0.714
